PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,POSITION,ROSTERSTATUS,TEAM_ID,FROM_YEAR,TO_YEAR,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
1629167,Justin,Bibbs,Justin Bibbs,1996-01-14T00:00:00,,USA,6-5,220,Guard,Active,1610612746,2018,2018,Undrafted,Undrafted,Undrafted
203920,Khem,Birch,Khem Birch,1992-09-28T00:00:00,Nevada-Las Vegas,Canada,6-9,233,Center,Active,1610612753,2017,2018,Undrafted,Undrafted,Undrafted
202687,Bismack,Biyombo,Bismack Biyombo,1992-08-28T00:00:00,"Lubumbashi, DR Congo",Democratic Republic of the Congo,6-9,255,Center,Active,1610612766,2011,2018,2011,1,7
202357,Nemanja,Bjelica,Nemanja Bjelica,1988-05-09T00:00:00,,Serbia,6-10,234,Forward,Active,1610612758,2015,2018,2010,2,35
1628469,Antonio,Blakeney,Antonio Blakeney,1996-10-04T00:00:00,Louisiana State,USA,6-4,192,Guard,Active,1610612741,2017,2018,Undrafted,Undrafted,Undrafted
202339,Eric,Bledsoe,Eric Bledsoe,1989-12-09T00:00:00,Kentucky,USA,6-1,205,Guard,Active,1610612749,2010,2018,2010,1,18
1628417,Jaron,Blossomgame,Jaron Blossomgame,1993-09-16T00:00:00,Clemson,USA,6-8,220,Forward,Active,1610612739,2018,2018,2017,2,59
1629129,Trevon,Bluiett,Trevon Bluiett,1994-11-04T00:00:00,Xavier (Ohio),USA,6-6,198,Guard-Forward,Active,1610612740,2018,2018,Undrafted,Undrafted,Undrafted
203992,Bogdan,Bogdanovic,Bogdan Bogdanovic,1992-08-18T00:00:00,,Serbia,6-6,205,Guard,Active,1610612758,2017,2018,2014,1,27
202711,Bojan,Bogdanovic,Bojan Bogdanovic,1989-04-18T00:00:00,,Croatia,6-8,216,Forward,Active,1610612754,2014,2018,2011,2,31
101106,Andrew,Bogut,Andrew Bogut,1984-11-28T00:00:00,Utah,Australia,7-0,260,Center,Active,1610612749,2005,2018,2005,1,1
1628413,Jonah,Bolden,Jonah Bolden,1996-01-02T00:00:00,,Australia,6-10,220,Forward,Active,1610612755,2018,2018,2017,2,36
1629067,Isaac,Bonga,Isaac Bonga,1999-11-08T00:00:00,,Germany,6-8,180,Guard,Active,1610612747,2018,2018,2018,2,39
1626164,Devin,Booker,Devin Booker,1996-10-30T00:00:00,Kentucky,USA,6-6,210,Guard,Active,1610612756,2015,2018,2015,1,13
1628449,Chris,Boucher,Chris Boucher,1993-01-11T00:00:00,Oregon,Canada,6-10,200,Forward,Active,1610612761,2017,2018,Undrafted,Undrafted,Undrafted
202340,Avery,Bradley,Avery Bradley,1990-11-26T00:00:00,Texas,USA,6-2,180,Guard,Active,1610612763,2010,2018,2010,1,19
1628396,Tony,Bradley,Tony Bradley,1998-01-08T00:00:00,North Carolina,USA,6-10,248,Center,Active,1610612762,2017,2018,2017,1,28
201147,Corey,Brewer,Corey Brewer,1986-03-05T00:00:00,Florida,USA,6-9,186,Guard-Forward,Active,1610612750,2007,2018,2007,1,7
1628969,Mikal,Bridges,Mikal Bridges,1996-08-30T00:00:00,Villanova,USA,6-7,210,Forward,Active,1610612756,2018,2018,2018,1,10
1628970,Miles,Bridges,Miles Bridges,1998-03-21T00:00:00,Michigan State,USA,6-7,225,Forward,Active,1610612766,2018,2018,2018,1,12
1628515,Isaiah,Briscoe,Isaiah Briscoe,1996-04-13T00:00:00,,USA,6-3,215,Guard,Active,1610612753,2018,2018,Undrafted,Undrafted,Undrafted
1629151,Ryan,Broekhoff,Ryan Broekhoff,1990-08-23T00:00:00,,Australia,6-7,215,Guard-Forward,Active,1610612742,2018,2018,Undrafted,Undrafted,Undrafted
1627763,Malcolm,Brogdon,Malcolm Brogdon,1992-12-11T00:00:00,Virginia,USA,6-5,229,Guard,Active,1610612749,2016,2018,2016,2,36
1628415,Dillon,Brooks,Dillon Brooks,1996-01-22T00:00:00,Oregon,Canada,6-6,220,Guard-Forward,Active,1610612763,2017,2018,2017,2,45
1628971,Bruce,Brown,Bruce Brown,1996-08-15T00:00:00,Miami (FL),USA,6-5,202,Guard,Active,1610612765,2018,2018,2018,2,42
1627759,Jaylen,Brown,Jaylen Brown,1996-10-24T00:00:00,California,USA,6-7,220,Guard,Active,1610612738,2016,2018,2016,1,3
1628425,Sterling,Brown,Sterling Brown,1995-02-10T00:00:00,Southern Methodist,USA,6-6,232,Guard,Active,1610612749,2017,2018,2017,2,46
1628972,Troy,Brown Jr.,Troy Brown Jr.,1999-07-28T00:00:00,Oregon,USA,6-7,215,Forward,Active,1610612764,2018,2018,2018,1,15
1628973,Jalen,Brunson,Jalen Brunson,1996-08-31T00:00:00,Villanova,USA,6-3,190,Guard,Active,1610612742,2018,2018,2018,2,33
1628418,Thomas,Bryant,Thomas Bryant,1997-07-31T00:00:00,Indiana,USA,6-11,248,Center,Active,1610612764,2017,2018,2017,2,42
203493,Reggie,Bullock,Reggie Bullock,1991-03-16T00:00:00,North Carolina,USA,6-7,205,Guard-Forward,Active,1610612747,2013,2018,2013,1,25
203504,Trey,Burke,Trey Burke,1992-11-12T00:00:00,Michigan,USA,6-1,175,Guard,Active,1610612742,2013,2018,2013,1,9
202692,Alec,Burks,Alec Burks,1991-07-20T00:00:00,Colorado,USA,6-6,214,Guard,Active,1610612758,2011,2018,2011,1,12
1629126,Deonte,Burton,Deonte Burton,1994-01-31T00:00:00,Iowa State,USA,6-5,245,Guard,Active,1610612760,2018,2018,Undrafted,Undrafted,Undrafted
202710,Jimmy,Butler,Jimmy Butler,1989-09-14T00:00:00,Marquette,USA,6-8,232,Guard-Forward,Active,1610612755,2011,2018,2011,1,30
203998,Bruno,Caboclo,Bruno Caboclo,1995-09-21T00:00:00,,Brazil,6-9,218,Forward,Active,1610612761,2014,2018,2014,1,20
101181,Jose,Calderon,Jose Calderon,1981-09-28T00:00:00,"Villanueva de la Serena, Spain",Spain,6-3,200,Guard,Active,1610612765,2005,2018,Undrafted,Undrafted,Undrafted
203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,1993-02-18T00:00:00,Georgia,USA,6-5,205,Guard,Active,1610612747,2013,2018,2013,1,8
203991,Clint,Capela,Clint Capela,1994-05-18T00:00:00,,Switzerland,6-10,240,Center,Active,1610612745,2014,2018,2014,1,25
201960,DeMarre,Carroll,DeMarre Carroll,1986-07-27T00:00:00,Missouri,USA,6-8,215,Forward,Active,1610612751,2009,2018,2009,1,27
1628975,Jevon,Carter,Jevon Carter,1995-09-14T00:00:00,West Virginia,USA,6-2,196,Guard,Active,1610612763,2018,2018,2018,2,32
1713,Vince,Carter,Vince Carter,1977-01-26T00:00:00,North Carolina,USA,6-6,220,Forward-Guard,Active,1610612737,1998,2018,1998,1,5
1628976,Wendell,Carter Jr.,Wendell Carter Jr.,1999-04-16T00:00:00,Duke,USA,6-10,255,Center,Active,1610612741,2018,2018,2018,1,7
203487,Michael,Carter-Williams,Michael Carter-Williams,1991-10-10T00:00:00,Syracuse,USA,6-6,190,Guard,Active,1610612753,2013,2018,2013,1,11
1627936,Alex,Caruso,Alex Caruso,1994-02-28T00:00:00,Texas A&M,USA,6-5,186,Guard,Active,1610612747,2017,2018,Undrafted,Undrafted,Undrafted
1626161,Willie,Cauley-Stein,Willie Cauley-Stein,1993-08-18T00:00:00,Kentucky,USA,7-0,240,Center,Active,1610612758,2015,2018,2015,1,6
1628505,Troy,Caupain,Troy Caupain,1995-11-29T00:00:00,Cincinnati,USA,6-4,210,Guard,Active,1610612753,2018,2018,Undrafted,Undrafted,Undrafted
1628463,Tyler,Cavanaugh,Tyler Cavanaugh,1994-02-09T00:00:00,George Washington,USA,6-9,238,Forward,Active,1610612762,2017,2018,Undrafted,Undrafted,Undrafted
2199,Tyson,Chandler,Tyson Chandler,1982-10-02T00:00:00,Dominquez H.S,USA,7-1,240,Center,Active,1610612747,2001,2018,2001,1,2
201163,Wilson,Chandler,Wilson Chandler,1987-05-10T00:00:00,DePaul,USA,6-9,225,Forward,Active,1610612746,2007,2018,2007,1,23
1629147,Joe,Chealey,Joe Chealey,1995-11-01T00:00:00,Charleston (SC),USA,6-3,190,Guard,Active,1610612766,2018,2018,Undrafted,Undrafted,Undrafted
1629185,Chris,Chiozza,Chris Chiozza,1995-11-21T00:00:00,,USA,6-0,175,Guard,Active,1610612745,2018,2018,Undrafted,Undrafted,Undrafted
1627737,Marquese,Chriss,Marquese Chriss,1997-07-02T00:00:00,Washington,USA,6-10,240,Forward,Active,1610612739,2016,2018,2016,1,8
1629109,Gary,Clark,Gary Clark,1994-11-16T00:00:00,,USA,6-8,225,Forward,Active,1610612745,2018,2018,Undrafted,Undrafted,Undrafted
203546,Ian,Clark,Ian Clark,1991-03-07T00:00:00,Belmont,USA,6-3,175,Guard,Active,1610612740,2013,2018,Undrafted,Undrafted,Undrafted
203903,Jordan,Clarkson,Jordan Clarkson,1992-06-07T00:00:00,Missouri,USA,6-5,194,Guard,Active,1610612739,2014,2018,2014,2,46
1628381,John,Collins,John Collins,1997-09-23T00:00:00,Wake Forest,USA,6-10,235,Forward-Center,Active,1610612737,2017,2018,2017,1,19
1628380,Zach,Collins,Zach Collins,1997-11-19T00:00:00,Gonzaga,USA,7-0,235,Forward-Center,Active,1610612757,2017,2018,2017,1,10
201954,Darren,Collison,Darren Collison,1987-08-23T00:00:00,UCLA,USA,6-0,175,Guard,Active,1610612754,2009,2018,2009,1,21
1629045,Bonzie,Colson,Bonzie Colson,1996-01-12T00:00:00,Notre Dame,USA,6-6,225,Forward,Active,1610612749,2018,2018,Undrafted,Undrafted,Undrafted
201144,Mike,Conley,Mike Conley,1987-10-11T00:00:00,Ohio State,USA,6-1,175,Guard,Active,1610612763,2007,2018,2007,1,4
1626192,Pat,Connaughton,Pat Connaughton,1993-01-06T00:00:00,Notre Dame,USA,6-4,209,Guard,Active,1610612749,2015,2018,2015,2,41
1626188,Quinn,Cook,Quinn Cook,1993-03-23T00:00:00,Duke,USA,6-2,179,Guard,Active,1610612744,2016,2018,Undrafted,Undrafted,Undrafted
202326,DeMarcus,Cousins,DeMarcus Cousins,1990-08-13T00:00:00,Kentucky,USA,6-11,270,Center,Active,1610612744,2010,2018,2010,1,5
203496,Robert,Covington,Robert Covington,1990-12-14T00:00:00,Tennessee State,USA,6-9,225,Forward,Active,1610612750,2013,2018,Undrafted,Undrafted,Undrafted
203459,Allen,Crabbe,Allen Crabbe,1992-04-09T00:00:00,California,USA,6-6,212,Guard-Forward,Active,1610612751,2013,2018,2013,2,31
1628470,Torrey,Craig,Torrey Craig,1990-12-19T00:00:00,South Carolina Upstate,USA,6-7,215,Forward,Active,1610612743,2017,2018,Undrafted,Undrafted,Undrafted
2037,Jamal,Crawford,Jamal Crawford,1980-03-20T00:00:00,Michigan,USA,6-5,185,Guard,Active,1610612756,2000,2018,2000,1,8
203109,Jae,Crowder,Jae Crowder,1990-07-06T00:00:00,Marquette,USA,6-6,235,Forward,Active,1610612762,2012,2018,2012,2,34
201967,Dante,Cunningham,Dante Cunningham,1987-04-22T00:00:00,Villanova,USA,6-8,230,Forward,Active,1610612759,2009,2018,2009,2,33
203552,Seth,Curry,Seth Curry,1990-08-23T00:00:00,Duke,USA,6-2,185,Guard,Active,1610612757,2013,2018,Undrafted,Undrafted,Undrafted
201939,Stephen,Curry,Stephen Curry,1988-03-14T00:00:00,Davidson,USA,6-3,190,Guard,Active,1610612744,2009,2018,2009,1,7
203584,Troy,Daniels,Troy Daniels,1991-07-15T00:00:00,Virginia Commonwealth,USA,6-4,205,Guard,Active,1610612756,2013,2018,Undrafted,Undrafted,Undrafted
203076,Anthony,Davis,Anthony Davis,1993-03-11T00:00:00,Kentucky,USA,6-10,253,Forward-Center,Active,1610612740,2012,2018,2012,1,1
1627738,Deyonta,Davis,Deyonta Davis,1996-12-02T00:00:00,Michigan State,USA,6-11,237,Center-Forward,Active,1610612763,2016,2018,2016,2,31
202334,Ed,Davis,Ed Davis,1989-06-05T00:00:00,North Carolina,USA,6-10,225,Center,Active,1610612751,2010,2018,2010,1,13
201942,DeMar,DeRozan,DeMar DeRozan,1989-08-07T00:00:00,Southern California,USA,6-7,220,Guard,Active,1610612759,2009,2018,2009,1,9
203473,Dewayne,Dedmon,Dewayne Dedmon,1989-08-12T00:00:00,Southern California,USA,7-0,245,Center,Active,1610612737,2013,2018,Undrafted,Undrafted,Undrafted
1626155,Sam,Dekker,Sam Dekker,1994-05-08T00:00:00,Wisconsin,USA,6-9,230,Forward,Active,1610612764,2015,2018,2015,1,18
1629116,Angel,Delgado,Angel Delgado,1994-11-20T00:00:00,,Dominican Republic,6-10,245,Center,Active,1610612746,2018,2018,Undrafted,Undrafted,Undrafted
203521,Matthew,Dellavedova,Matthew Dellavedova,1990-09-08T00:00:00,Saint Mary's (CA),Australia,6-4,200,Guard,Active,1610612739,2013,2018,Undrafted,Undrafted,Undrafted
1628610,Cody,Demps,Cody Demps,1993-12-02T00:00:00,Sacramento State,USA,6-4,195,Forward,Active,1610612758,2018,2018,Undrafted,Undrafted,Undrafted
2736,Luol,Deng,Luol Deng,1985-04-16T00:00:00,Duke,United Kingdom,6-9,237,Forward,Active,1610612750,2004,2018,2004,1,7
1629094,Marcus,Derrickson,Marcus Derrickson,1996-02-01T00:00:00,,USA,6-7,249,Forward,Active,1610612744,2018,2018,Undrafted,Undrafted,Undrafted
1628978,Donte,DiVincenzo,Donte DiVincenzo,1997-01-31T00:00:00,Villanova,USA,6-4,203,Guard,Active,1610612749,2018,2018,2018,1,17
1627767,Cheick,Diallo,Cheick Diallo,1996-09-13T00:00:00,Kansas,Mali,6-9,220,Forward,Active,1610612740,2016,2018,2016,2,33
1628977,Hamidou,Diallo,Hamidou Diallo,1998-07-31T00:00:00,Kentucky,USA,6-5,198,Guard,Active,1610612760,2018,2018,2018,2,45
203476,Gorgui,Dieng,Gorgui Dieng,1990-01-18T00:00:00,Louisville,Senegal,6-11,252,Center,Active,1610612750,2013,2018,2013,1,21
203915,Spencer,Dinwiddie,Spencer Dinwiddie,1993-04-06T00:00:00,Colorado,USA,6-6,210,Guard,Active,1610612751,2014,2018,2014,2,38
1629029,Luka,Doncic,Luka Doncic,1999-02-28T00:00:00,,Slovenia,6-7,218,Forward-Guard,Active,1610612742,2018,2018,2018,1,3
1628416,Tyler,Dorsey,Tyler Dorsey,1996-02-18T00:00:00,Oregon,USA,6-5,183,Guard,Active,1610612763,2017,2018,2017,2,41
1628422,Damyean,Dotson,Damyean Dotson,1994-05-06T00:00:00,Houston,USA,6-6,210,Guard,Active,1610612752,2017,2018,2017,2,44
1628408,PJ,Dozier,PJ Dozier,1996-10-25T00:00:00,South Carolina,USA,6-6,205,Guard-Forward,Active,1610612738,2017,2018,Undrafted,Undrafted,Undrafted
201609,Goran,Dragic,Goran Dragic,1986-05-06T00:00:00,"Ljubljana, Slovenia",Slovenia,6-3,190,Guard,Active,1610612748,2008,2018,2008,2,45
203083,Andre,Drummond,Andre Drummond,1993-08-10T00:00:00,Connecticut,USA,6-11,279,Center,Active,1610612765,2012,2018,2012,1,9
201162,Jared,Dudley,Jared Dudley,1985-07-10T00:00:00,Boston College,USA,6-7,237,Forward,Active,1610612751,2007,2018,2007,1,22
1627739,Kris,Dunn,Kris Dunn,1994-03-18T00:00:00,Providence,USA,6-4,205,Guard,Active,1610612741,2016,2018,2016,1,5
201142,Kevin,Durant,Kevin Durant,1988-09-29T00:00:00,Texas,USA,6-9,240,Forward,Active,1610612744,2007,2018,2007,1,2
1628979,Trevon,Duval,Trevon Duval,1998-08-03T00:00:00,,USA,6-2,189,Guard,Active,1610612745,2018,2018,Undrafted,Undrafted,Undrafted
1629053,Vincent,Edwards,Vincent Edwards,1996-04-05T00:00:00,Purdue,USA,6-8,225,Forward,Active,1610612745,2018,2018,2018,2,52
1627740,Henry,Ellenson,Henry Ellenson,1997-01-13T00:00:00,Marquette,USA,6-11,245,Forward,Active,1610612752,2016,2018,2016,1,18
201961,Wayne,Ellington,Wayne Ellington,1987-11-29T00:00:00,North Carolina,USA,6-5,200,Guard,Active,1610612765,2009,2018,2009,1,28
203954,Joel,Embiid,Joel Embiid,1994-03-16T00:00:00,Kansas,Cameroon,7-0,250,Forward-Center,Active,1610612755,2014,2018,2014,1,3
203516,James,Ennis III,James Ennis III,1990-07-01T00:00:00,Long Beach State,USA,6-7,210,Forward,Active,1610612755,2014,2018,2013,2,50
1629234,Drew,Eubanks,Drew Eubanks,1997-02-01T00:00:00,,USA,6-10,245,Forward,Active,1610612759,2018,2018,Undrafted,Undrafted,Undrafted
1628980,Jacob,Evans,Jacob Evans,1997-06-18T00:00:00,Cincinnati,USA,6-6,210,Guard,Active,1610612744,2018,2018,2018,1,28
1628393,Jawun,Evans,Jawun Evans,1996-07-26T00:00:00,Oklahoma State,USA,6-0,190,Guard,Active,1610612760,2017,2018,2017,2,39
201936,Tyreke,Evans,Tyreke Evans,1989-09-19T00:00:00,Memphis,USA,6-6,220,Guard,Active,1610612754,2009,2018,2009,1,4
203957,Dante,Exum,Dante Exum,1995-07-13T00:00:00,,Australia,6-6,190,Guard,Active,1610612762,2014,2018,2014,1,5
202702,Kenneth,Faried,Kenneth Faried,1989-11-19T00:00:00,Morehead State,USA,6-8,220,Forward-Center,Active,1610612745,2011,2018,2011,1,22
202324,Derrick,Favors,Derrick Favors,1991-07-15T00:00:00,Georgia Tech,USA,6-10,265,Forward-Center,Active,1610612762,2010,2018,2010,1,3
1626245,Cristiano,Felicio,Cristiano Felicio,1992-07-07T00:00:00,,Brazil,6-10,265,Forward-Center,Active,1610612741,2015,2018,Undrafted,Undrafted,Undrafted
101109,Raymond,Felton,Raymond Felton,1984-06-26T00:00:00,North Carolina,USA,6-1,205,Guard,Active,1610612760,2005,2018,2005,1,5
1628390,Terrance,Ferguson,Terrance Ferguson,1998-05-17T00:00:00,,USA,6-7,190,Guard,Active,1610612760,2017,2018,2017,1,21
1627812,Yogi,Ferrell,Yogi Ferrell,1993-05-09T00:00:00,Indiana,USA,6-0,180,Guard,Active,1610612758,2016,2018,Undrafted,Undrafted,Undrafted
1627827,Dorian,Finney-Smith,Dorian Finney-Smith,1993-05-04T00:00:00,Florida,USA,6-8,220,Forward,Active,1610612742,2016,2018,Undrafted,Undrafted,Undrafted
1627854,Bryn,Forbes,Bryn Forbes,1993-07-23T00:00:00,Michigan State,USA,6-3,190,Guard,Active,1610612759,2016,2018,Undrafted,Undrafted,Undrafted
203095,Evan,Fournier,Evan Fournier,1992-10-29T00:00:00,France,France,6-7,205,Guard-Forward,Active,1610612753,2012,2018,2012,1,20
1628368,De'Aaron,Fox,De'Aaron Fox,1997-12-20T00:00:00,Kentucky,USA,6-3,175,Guard,Active,1610612758,2017,2018,2017,1,5
204025,Tim,Frazier,Tim Frazier,1990-11-01T00:00:00,,USA,6-1,170,Guard,Active,1610612749,2014,2018,Undrafted,Undrafted,Undrafted
1628982,Melvin,Frazier Jr.,Melvin Frazier Jr.,1996-08-30T00:00:00,Tulane,USA,6-6,200,Guard-Forward,Active,1610612753,2018,2018,2018,2,35
202690,Jimmer,Fredette,Jimmer Fredette,1989-02-25T00:00:00,Brigham Young,USA,6-2,195,Guard,Active,1610612758,2011,2018,2011,1,10
101112,Channing,Frye,Channing Frye,1983-05-17T00:00:00,Arizona,USA,7-0,255,Forward-Center,Active,1610612739,2005,2018,2005,1,8
1628365,Markelle,Fultz,Markelle Fultz,1998-05-29T00:00:00,Washington,USA,6-4,200,Guard,Active,1610612753,2017,2018,2017,1,1
1629117,Wenyen,Gabriel,Wenyen Gabriel,1997-03-26T00:00:00,,Sudan,6-9,205,Forward,Active,1610612758,2018,2018,Undrafted,Undrafted,Undrafted
201568,Danilo,Gallinari,Danilo Gallinari,1988-08-08T00:00:00,"Sant'Angelo Lodigiano, Italy",Italy,6-10,225,Forward,Active,1610612746,2008,2018,2008,1,6
204038,Langston,Galloway,Langston Galloway,1991-12-09T00:00:00,Saint Joseph's,USA,6-2,200,Guard,Active,1610612765,2014,2018,Undrafted,Undrafted,Undrafted
201188,Marc,Gasol,Marc Gasol,1985-01-29T00:00:00,"Barcelona, Spain",Spain,7-1,255,Center,Active,1610612761,2008,2018,2007,2,48
2200,Pau,Gasol,Pau Gasol,1980-07-06T00:00:00,"Barcelona, Spain",Spain,7-0,250,Center-Forward,Active,1610612749,2001,2018,2001,1,3
200752,Rudy,Gay,Rudy Gay,1986-08-17T00:00:00,Connecticut,USA,6-8,230,Forward,Active,1610612759,2006,2018,2006,1,8
202331,Paul,George,Paul George,1990-05-02T00:00:00,Fresno State,USA,6-9,220,Forward,Active,1610612760,2010,2018,2010,1,10
201959,Taj,Gibson,Taj Gibson,1985-06-24T00:00:00,Southern California,USA,6-9,232,Forward,Active,1610612750,2009,2018,2009,1,26
1628385,Harry,Giles III,Harry Giles III,1998-04-22T00:00:00,Duke,USA,6-10,240,Forward-Center,Active,1610612758,2017,2018,2017,1,20
